Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
"Home2 Suites By Hilton Miami Doral West Airport, Fl",Miami,464,8.4,3,"1,348",8.8,8.8,8.6,8.8,8.4,8.7,8.8,6,5,5,6.0,1,True
Element Miami Doral,Miami,464,8.2,3,601,8.7,8.6,8.6,8.5,8.0,8.4,9.1,6,6,8,7.0,2,True
Pullman Miami Airport,Miami,632,7.2,4,826,8.4,7.8,7.8,7.7,7.1,7.6,8.5,7,2.1,1.6,5.0,3,True
Best Western Premier Miami International Airport  & Suites Coral Gables,Miami,504,7.1,3,"3,073",7.9,7.5,7.9,7.6,7.3,7.4,7.8,6,2.8,3.8,8.0,2,False
Courtyard by Marriott Miami at Dolphin Mall,Miami,732,8.3,3,"1,894",9.3,8.5,8.8,8.7,8.1,8.3,8.4,13,8,9,7.0,2,False
Mandarin Oriental Miami,Miami,"2,508",8.8,5,718,9.3,9.2,9.2,9.3,8.1,8.9,,2.4,700,2.2,3.0,5,True
JW Marriott Miami,Miami,"1,254",7.5,5,229,9.1,8.1,8.1,8.3,6.9,7.7,,2,250,2.8,7.0,2,False
Aloft Coral Gables,Miami,618,7.8,3,439,9.0,8.3,8.4,8.4,7.6,8.0,9.0,5,1.9,6,7.0,2,True
Extended Stay America Premier Suites - Miami - Airport - Miami Springs,Miami,473,7.3,2,593,8.1,7.8,8.0,7.7,7.3,7.4,7.4,7,1.7,1.5,5.0,1,True
"EVEN  Miami - Airport, an IHG Hotel",Miami,529,7.7,3,"2,365",7.8,8.4,7.9,8.4,7.8,8.3,8.6,6,650,3.6,6.0,2,True
Best Western Plus Miami Airport North  & Suites,Miami,394,8.1,3,"1,216",8.4,8.4,8.4,8.5,7.8,8.1,8.2,7,1.7,1.5,7.0,4,False
Hyde Suites Midtown Miami,Miami,"1,027",8.2,4,269,9.3,8.7,8.7,8.8,8.0,8.7,9.3,3.9,2.4,3.4,5.0,4,True
 Chateaubleau,Miami,477,4.8,2,622,7.2,5.4,6.3,5.5,5.2,5.0,6.6,5,3.1,5,5.0,4,True
 AKA Brickell Miami,Miami,"1,396",7.8,5,519,9.0,8.5,8.5,8.7,7.4,8.0,,2.2,100,3,7.0,8,True
Best Western Plus Miami-Doral/Dolphin Mall,Miami,476,6.9,3,"4,418",8.2,7.1,7.4,7.2,6.9,7.0,8.0,6,6,8,6.0,2,False
La Quinta Inn by Wyndham Miami Airport North,Miami,323,6.4,3,"3,257",7.7,7.0,7.6,7.0,6.6,6.5,7.4,8,3.7,3.3,9.0,2,True
Onyx  Miami Airport,Miami,311,6.4,2,"3,481",7.9,6.9,7.6,7.0,6.8,6.5,7.2,7,1.5,1.6,6.0,4,False
THesis  Miami,Miami,756,8.2,4,591,8.8,8.9,8.6,8.9,8.1,8.6,8.6,4.8,250,9,4.0,1,True
Red Roof Inn PLUS+ Miami Airport,Miami,464,6.1,2,"2,620",7.7,6.7,6.9,6.8,6.4,6.3,7.7,6,950,2.7,4.0,2,True
Extended Stay America Premier Suites - Miami - Airport - Doral - 25th Street,Miami,506,7.7,2,417,8.3,8.3,8.5,8.2,7.7,8.0,7.2,7,4.6,3.5,5.0,2,True
Courtyard Miami Coconut Grove,Miami,744,7.7,3,213,9.0,8.3,8.2,8.3,7.4,8.0,,6,950,8,7.0,2,False
Extended Stay America Premier Suites - Miami - Coral Gables,Miami,506,7.4,2,174,9.0,7.7,7.7,7.8,7.2,7.4,7.5,4.3,1.9,6,6.0,2,True
Cambria  Miami Airport - Blue Lagoon,Miami,443,7.2,4,954,8.1,7.7,7.9,7.8,7.3,7.6,7.5,6,3.6,2.8,7.0,5,False
Miami Marriott Dadeland,Miami,584,7.6,4,431,8.7,8.2,8.2,8.1,7.2,7.9,,8,100,13,7.0,2,False
"The Ritz Carlton Key Biscayne, Miami",Miami,"2,573",8.4,5,164,9.2,9.0,8.9,8.8,7.4,8.7,,9,8,11,7.0,9,False
Courtyard Miami Dadeland,Miami,553,8.1,3,433,8.7,8.6,8.8,8.5,7.9,8.2,9.3,8,150,13,6.0,2,False
YOTELPAD Miami,Miami,969,7.4,4,31,8.8,8.5,7.7,8.6,7.7,8.6,,1.8,100,1.5,9.0,2,True
Days Inn by Wyndham Miami Airport North,Miami,318,4.2,2,"4,333",6.8,5.0,6.4,5.1,5.1,4.8,4.9,7,1.5,1.9,4.0,3,False
Days Inn by Wyndham Miami International Airport,Miami,327,6.1,3,"3,026",7.2,6.7,6.7,6.8,6.3,6.4,7.1,7,4,3.1,6.0,3,False
Ramada by Wyndham Miami Springs/Miami International Airport,Miami,306,7.3,3,"2,901",8.3,7.7,8.0,7.7,7.5,7.4,6.9,7,1.5,1.7,5.0,2,False
Radisson RED Miami Airport,Miami,575,7.9,3,314,8.1,8.5,8.0,8.6,7.8,8.3,,6,750,3.7,1.0,2,
SpringHill Suites Miami Airport South,Miami,615,7.3,3,"1,838",8.1,7.8,7.5,7.9,7.5,7.5,7.8,6,3.5,2.8,9.0,2,True
