Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Hilton Garden Inn Washington DC/Georgetown Area,Washington,"1,164",7.9,3,592,8.8,8.4,8.4,8.5,7.9,8.1,8.3,1.6,500,6,5.0,1,False
Georgetown Residences by LuxUrban,Washington,510,6.9,3,421,8.3,7.7,7.6,7.8,7.8,7.3,5.1,"1,000",700,6,4.0,1,False
AC  Washington DC Downtown,Washington,"1,216",8.8,4,451,9.3,9.2,9.0,9.1,8.7,9.1,8.8,850,400,6,5.0,1,True
YOTEL Washington DC,Washington,"1,116",8.1,4,"1,191",8.9,8.9,8.5,8.8,8.0,8.5,8.1,950,400,6,6.0,3,True
District ,Washington,443,7.1,2,656,8.7,7.6,8.2,7.4,7.4,6.9,7.3,1.3,800,7,4.0,2,False
The Hay - Adams,Washington,"1,439",9.3,5,150,9.7,9.5,9.6,9.7,8.7,9.2,9.2,950,250,6,8.0,6,True
Motto by Hilton Washington DC City Center,Washington,867,8.4,3,"1,952",8.9,9.0,9.3,8.7,8.4,8.6,8.6,950,200,6,4.0,2,False
 Harrington,Washington,475,7.2,2,"3,562",9.5,7.3,8.0,7.4,7.8,6.7,7.6,750,300,5,4.0,3,
The Fairmont Washington DC,Washington,"1,095",9.0,4,339,9.3,9.2,9.2,9.3,8.4,9.0,,800,550,6,3.0,1,True
Hamilton  - Washington DC,Washington,"1,051",8.2,4,"2,156",9.3,8.6,8.6,8.6,8.1,8.3,8.4,750,250,6,8.0,10,False
 Lombardy,Washington,739,8.6,4,"1,425",9.4,9.0,9.2,9.0,8.4,8.4,7.8,1.2,400,6,4.0,9,False
Hyatt Regency Washington on Capitol Hill,Washington,872,7.8,4,537,8.9,8.2,8.4,8.2,7.2,7.9,7.9,900,450,6,7.0,9,False
Canopy by Hilton Washington DC Embassy Row,Washington,891,8.7,3,323,9.1,9.2,9.1,9.2,8.5,8.9,8.5,1.1,450,6,4.0,2,True
Hyatt Place Washington DC/US Capitol,Washington,924,7.1,3,"3,401",7.1,7.8,7.7,7.8,7.3,7.5,8.2,1.8,400,7,6.0,3,True
Hilton Garden Inn Washington DC Downtown,Washington,"1,301",8.1,3,"1,458",9.3,8.6,8.6,8.6,8.0,8.3,8.3,600,150,6,7.0,2,False
Courtyard by Marriott Washington Capitol Hill/Navy Yard,Washington,"1,027",8.1,3,371,8.8,8.5,8.6,8.7,7.9,8.2,7.9,1.4,300,4.4,9.0,2,True
Thompson Washington D.C.,Washington,780,8.7,4,209,9.2,9.2,9.1,9.2,8.1,8.9,,1.8,450,4.3,5.0,1,True
 Madera,Washington,832,9.2,4,"1,046",9.5,9.6,9.6,9.6,8.9,9.3,9.4,2,250,6,4.0,3,True
Hilton Club The District Washington DC,Washington,961,8.6,4,155,9.1,8.7,9.0,8.8,8.4,8.8,8.3,1.8,550,6,6.0,2,False
